Study,Age,Gender,English,Model,Personality condition,Condition,Extraversion,Fluency
Video,24,female,med,STRAP,Ext,STRAP Ext Video,4.6,5.0
Video,46,female,high,STRAP,Int,STRAP Int Video,1.5,5.333333333333333
Video,23,male,med,GPT-3,Int,GPT-3 Int Video,4.3,5.0
Video,24,female,high,STRAP,Ext,STRAP Ext Video,2.8,4.0
Video,21,female,med,STRAP,Int,STRAP Int Video,5.2,5.666666666666667
Video,31,female,high,GPT-3,Ext,GPT-3 Ext Video,3.6,6.0
Video,21,female,med,GPT-3,Int,GPT-3 Int Video,4.2,6.0
Video,24,female,med,STRAP,Int,STRAP Int Video,2.8,5.333333333333333
Video,25,male,med,GPT-3,Ext,GPT-3 Ext Video,4.300000000000001,4.666666666666667
Video,21,female,med,GPT-3,Int,GPT-3 Int Video,3.2,4.666666666666667
Video,31,male,med,STRAP,Ext,STRAP Ext Video,3.3000000000000003,5.666666666666667
Video,23,female,med,STRAP,Int,STRAP Int Video,3.9,4.333333333333333
Video,24,female,med,GPT-3,Ext,GPT-3 Ext Video,3.8,6.0
Video,31,male,med,STRAP,Int,STRAP Int Video,5.0,5.333333333333333
Video,24,male,med,GPT-3,Int,GPT-3 Int Video,3.1,6.0
Video,25,male,med,GPT-3,Int,GPT-3 Int Video,3.7,4.666666666666667
Video,30,female,med,STRAP,Ext,STRAP Ext Video,3.9,3.333333333333333
Video,21,female,med,STRAP,Ext,STRAP Ext Video,4.0,5.666666666666667
Video,54,female,med,STRAP,Int,STRAP Int Video,4.1,4.0
Video,26,female,med,Expert,Int,Expert Int Video,3.3,6.0
Video,25,female,med,Expert,Ext,Expert Ext Video,5.7,5.666666666666667
Video,22,female,med,Expert,Int,Expert Int Video,2.6000000000000005,4.333333333333333
Video,24,female,med,Expert,Ext,Expert Ext Video,4.3,5.666666666666667
Video,40,male,med,Expert,Int,Expert Int Video,3.7,4.0
Video,21,male,med,Expert,Int,Expert Int Video,5.2,5.333333333333333
Video,25,male,med,Expert,Ext,Expert Ext Video,5.1,5.333333333333333
Video,20,female,med,Expert,Int,Expert Int Video,4.4,5.666666666666667
Video,24,male,high,Expert,Ext,Expert Ext Video,4.0,3.0
Video,26,male,med,Expert,Int,Expert Int Video,3.0,5.0
Video,27,female,high,Expert,Ext,Expert Ext Video,4.199999999999999,6.0
Video,21,male,med,Expert,Int,Expert Int Video,3.1,2.6666666666666665
Video,21,non-binary,med,Expert,Ext,Expert Ext Video,3.1,6.0
Video,28,male,med,Expert,Int,Expert Int Video,3.5,4.333333333333333
Video,19,female,med,Expert,Int,Expert Int Video,2.4000000000000004,3.6666666666666665
Video,60,male,med,Expert,Ext,Expert Ext Video,4.9,5.666666666666667
Video,24,female,med,Expert,Ext,Expert Ext Video,5.0,4.333333333333333
Video,20,female,med,Expert,Int,Expert Int Video,3.2,3.6666666666666665
Video,25,male,med,Expert,Ext,Expert Ext Video,4.5,5.333333333333333
Video,29,female,med,Expert,Int,Expert Int Video,4.8,5.666666666666667
Video,23,female,med,Expert,Ext,Expert Ext Video,4.4,3.333333333333333
Video,20,male,med,Expert,Int,Expert Int Video,3.7,6.0
Video,29,male,med,Expert,Ext,Expert Ext Video,4.5,6.0
Video,20,male,med,Expert,Int,Expert Int Video,4.9,5.666666666666667
Video,22,female,med,Expert,Ext,Expert Ext Video,4.0,6.0
Video,33,male,med,Expert,Int,Expert Int Video,3.4,5.666666666666667
Video,39,male,med,Expert,Ext,Expert Ext Video,4.0,5.0
Video,23,female,high,Expert,Int,Expert Int Video,4.2,6.0
Video,25,female,high,Expert,Int,Expert Int Video,4.5,5.0
Video,37,female,high,Expert,Ext,Expert Ext Video,5.0,5.0
Video,25,female,med,Expert,Int,Expert Int Video,4.699999999999999,5.333333333333333
Video,23,male,med,Expert,Int,Expert Int Video,2.6,3.6666666666666665
Video,23,female,med,Expert,Ext,Expert Ext Video,2.1,5.666666666666667
Video,22,male,med,Expert,Int,Expert Int Video,5.1,5.0
Video,26,male,high,Expert,Ext,Expert Ext Video,3.6,4.666666666666667
Video,28,male,high,Expert,Int,Expert Int Video,3.5,3.6666666666666665
Video,22,male,med,Expert,Ext,Expert Ext Video,3.9,4.666666666666667
Video,23,male,med,Expert,Int,Expert Int Video,4.2,4.0
Video,20,female,med,Expert,Ext,Expert Ext Video,4.6,5.0
Video,39,male,high,Expert,Int,Expert Int Video,4.1,3.333333333333333
Video,19,female,med,Expert,Int,Expert Int Video,3.4000000000000004,5.666666666666667
Video,27,male,med,Expert,Ext,Expert Ext Video,4.9,5.666666666666667
Video,30,male,med,Expert,Int,Expert Int Video,3.4,3.6666666666666665
Video,36,female,med,Expert,Ext,Expert Ext Video,5.3,5.666666666666667
Video,22,male,high,Expert,Int,Expert Int Video,2.9000000000000004,5.666666666666667
Video,23,female,med,Expert,Ext,Expert Ext Video,4.0,6.0
Video,22,male,med,Expert,Int,Expert Int Video,4.6,5.0
Video,22,female,med,Expert,Ext,Expert Ext Video,2.0,6.0
Video,20,male,med,Expert,Ext,Expert Ext Video,3.7,5.333333333333333
Video,25,male,med,Expert,Ext,Expert Ext Video,4.6,5.0
Video,21,female,high,Expert,Int,Expert Int Video,4.2,6.0
Video,30,female,high,Expert,Int,Expert Int Video,3.8,4.666666666666667
Video,20,male,med,Expert,Ext,Expert Ext Video,4.9,5.333333333333333
Video,33,female,none,Expert,Ext,Expert Ext Video,2.2,2.0
Video,26,female,high,Expert,Ext,Expert Ext Video,3.9,6.0
Video,25,male,med,Expert,Ext,Expert Ext Video,4.4,5.666666666666667
Video,25,male,high,Expert,Int,Expert Int Video,4.7,4.0
