age,gender,country,english,attention_check,d0_condition,d1_condition,d2_condition,d0_q1,d0_q2,d0_q3,d0_q4,d0_q5,d0_q6,d0_q7,d0_q8,d0_q9,d0_q10,d0_q11,d0_q12,d0_q13,d0_q14,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_q7,d1_q8,d1_q9,d1_q10,d1_q11,d1_q12,d1_q13,d1_q14,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_q7,d2_q8,d2_q9,d2_q10,d2_q11,d2_q12,d2_q13,d2_q14
24,male,LB,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,5,5,4,4,3,1,4,2,1,2,5,4,4,0,1,1,1,1,2,5,5,5,5,5,4,4,4,0,2,2,1,2,1,4,5,2,2,4,5,4,5,0
23,female,PT,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,3,3,3,3,5,3,3,3,2,3,5,5,4,0,5,5,3,5,5,2,2,4,4,2,5,5,2,3,1,3,4,2,2,4,5,4,4,3,5,5,5,0
27,male,ZA,high,"[0, 1, 5]",model0_int,model0_ext,model0_ext,0,0,0,0,0,6,6,6,6,6,6,5,6,0,0,0,0,0,0,6,6,6,6,6,6,5,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0
37,female,GB,high,"[0, 1, 5]",model2_int,model2_ext,model1_int,3,3,3,3,3,3,3,3,4,3,0,0,1,0,1,1,1,1,1,4,4,4,4,4,1,0,2,0,3,2,3,3,1,3,3,3,4,3,5,5,4,0
29,male,PL,med,"[0, 1, 5]",model2_ext,model2_int,model0_int,0,0,0,0,3,6,6,6,4,6,3,2,2,0,4,2,1,2,2,3,6,1,2,4,5,4,3,0,1,5,1,0,1,4,4,3,2,4,6,6,6,0
61,male,SI,med,"[0, 1]",model1_int,model1_ext,model2_ext,3,3,3,3,3,3,3,3,2,3,4,4,3,0,2,1,2,2,2,4,4,5,4,4,3,3,3,0,3,3,3,2,2,3,4,3,3,3,3,3,4,0
37,male,PT,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,0,0,1,2,2,6,6,6,6,3,6,6,6,0,1,2,1,3,2,6,5,4,4,3,5,5,4,0,3,1,0,0,2,3,6,6,3,3,6,5,5,0
21,male,PL,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,5,4,4,5,3,1,3,3,3,3,5,5,5,0,1,1,1,1,1,5,6,4,4,5,4,3,4,0,1,2,2,2,1,4,4,4,3,4,4,2,3,0
29,female,GR,med,"[0, 1, 5]",model2_ext,model2_int,model0_int,0,0,1,0,2,5,4,5,5,5,1,0,4,0,4,4,2,4,4,3,4,4,4,4,2,0,3,0,3,2,2,3,1,3,5,2,0,1,5,5,5,0
44,male,ES,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,1,1,1,1,4,4,5,4,4,5,5,4,4,0,1,1,2,3,4,2,2,2,1,4,0,0,1,0,4,2,1,3,3,2,2,2,1,2,5,5,4,0
22,male,NL,med,"[0, 1, 5]",model1_int,model1_ext,model2_ext,0,2,0,2,3,5,5,5,4,5,6,5,6,0,0,0,0,0,1,6,6,6,4,6,5,2,4,0,3,4,3,2,2,3,5,2,2,5,2,2,1,0
37,female,ZA,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,6,0,0,0,6,6,6,6,6,6,2,6,0,6,0,1,1,0,0,6,0,6,6,6,6,1,0
28,male,PT,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,2,2,4,4,1,3,4,3,4,4,6,5,5,0,1,1,1,1,1,5,5,6,4,6,6,5,5,0,0,0,1,1,2,5,5,6,4,5,5,5,5,0
25,male,CZ,med,"[0, 1, 5]",model2_int,model2_ext,model1_int,1,1,2,1,2,5,5,5,4,5,3,0,3,0,1,1,1,2,3,5,4,4,4,4,4,2,3,0,4,3,3,4,2,3,4,3,4,3,6,6,5,0
37,male,HU,med,"[0, 1, 2]",model2_ext,model2_int,model0_int,0,0,2,0,3,6,5,6,4,5,5,0,5,0,3,3,3,3,3,3,4,4,3,3,4,1,3,0,2,2,2,3,2,3,4,5,4,4,6,5,6,0
25,male,IL,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,6,3,0,0,6,0,4,6,6,6,6,5,6,0,0,3,0,0,4,1,6,6,6,6,4,3,2,0,4,3,3,4,0,1,6,3,0,2,5,1,5,0
62,female,GB,high,[1],model1_int,model1_ext,model2_ext,0,0,0,0,2,4,5,5,4,5,5,5,5,4,0,0,0,0,0,5,5,5,4,5,4,0,5,5,0,0,0,0,0,5,5,5,5,5,5,5,5,0
36,female,PL,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,3,3,5,3,3,3,4,3,4,4,4,4,4,0,1,3,2,1,1,4,6,4,5,4,3,3,3,0,3,2,1,4,3,3,4,3,4,4,3,4,3,0
50,female,IT,med,"[0, 1, 2]",model0_int,model0_ext,model0_ext,4,4,5,4,4,2,3,2,1,2,6,6,6,0,1,2,4,0,1,5,3,4,5,5,5,6,5,0,2,2,2,2,2,4,4,4,3,4,2,2,4,0
25,male,IT,med,"[0, 1]",model2_int,model2_ext,model1_int,1,0,1,0,1,5,5,6,4,5,2,1,4,0,2,1,2,1,2,4,2,5,4,5,5,4,2,0,4,3,4,3,2,3,3,3,2,3,6,6,5,0
29,female,GB,high,"[0, 1, 5]",model2_ext,model2_int,model0_int,1,0,1,1,1,5,4,5,5,4,5,6,6,0,1,1,1,1,4,3,3,3,4,1,5,1,5,0,4,2,1,3,1,1,2,4,3,3,6,4,5,0
35,male,ZA,high,[1],model1_ext,model0_int,model2_int,0,0,0,0,0,0,6,6,5,5,6,5,5,0,4,1,1,1,0,5,5,5,4,6,6,5,5,0,2,0,1,1,1,5,4,4,4,5,5,5,6,0
33,female,PL,med,"[0, 1]",model1_int,model1_ext,model2_ext,4,4,4,4,6,1,3,0,1,3,5,5,5,0,0,0,0,1,1,5,4,6,6,5,5,2,4,0,0,1,1,0,0,6,5,3,5,6,6,5,6,0
34,male,PT,med,[5],model0_ext,model1_int,model1_ext,3,3,1,3,2,4,5,4,5,4,5,5,4,0,4,4,4,4,3,1,3,4,2,1,5,5,5,0,1,4,4,5,1,1,1,2,3,1,4,5,4,0
19,female,PT,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,2,1,2,2,4,4,5,6,4,4,6,5,5,0,1,1,0,1,2,5,6,6,6,5,6,4,5,0,4,4,4,5,2,4,1,1,1,2,4,2,5,0
24,female,IT,med,[0],model2_int,model2_ext,model1_int,0,1,1,0,4,5,5,6,6,6,3,5,5,0,1,1,1,1,6,5,4,3,4,5,6,6,6,0,0,2,3,1,3,4,4,3,2,3,5,6,4,0
31,female,PT,med,"[0, 1, 5]",model2_ext,model2_int,model0_int,3,3,3,3,3,3,3,3,3,3,3,2,3,0,2,2,2,1,3,4,4,4,3,4,5,5,4,0,3,3,3,3,1,3,5,3,4,3,4,5,6,0
26,female,AT,med,[1],model1_ext,model0_int,model2_int,1,1,1,1,3,4,4,4,4,4,5,4,4,0,2,1,3,1,1,4,5,4,5,0,4,4,4,0,4,3,2,4,2,3,2,1,3,2,3,3,1,0
28,female,IR,med,[1],model1_int,model1_ext,model2_ext,3,3,5,4,6,2,3,5,4,5,6,6,6,0,2,2,0,2,3,5,6,6,6,4,3,2,1,0,3,4,1,0,0,3,4,0,1,2,6,6,4,0
20,female,GR,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,1,0,1,0,2,5,5,6,4,4,6,6,5,0,1,1,1,1,1,4,5,3,3,4,6,2,5,0,3,2,1,3,2,3,6,1,1,3,4,0,0,0
22,male,ZA,high,"[0, 1, 5]",model0_int,model0_ext,model0_ext,1,4,2,0,0,6,5,4,4,3,6,6,4,0,2,4,0,3,0,6,3,6,6,5,5,0,6,0,1,5,1,1,1,4,3,4,0,3,2,0,4,0
26,female,PL,med,"[0, 1, 5]",model1_int,model1_ext,model2_ext,1,2,2,1,3,6,6,6,3,4,6,4,4,0,0,0,0,0,0,6,6,6,6,6,5,4,4,0,3,4,4,4,1,3,3,2,4,2,6,6,5,0
33,male,GR,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,3,4,2,4,2,3,2,4,3,4,5,5,5,0,3,3,1,4,2,3,3,4,4,4,6,4,3,0,3,6,1,1,2,3,5,5,5,5,6,5,5,0
20,female,PL,med,"[0, 1, 5]",model2_ext,model2_int,model0_int,0,0,1,0,2,5,5,6,6,6,5,5,6,0,0,1,1,1,1,4,5,5,4,5,1,1,2,0,4,4,2,2,1,3,4,3,2,2,6,6,6,0
26,female,IT,high,"[0, 1, 5]",model1_ext,model0_int,model2_int,0,0,0,0,1,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,4,6,6,6,6,6,0,2,1,0,1,1,0,2,0,0,0,6,6,2,0
26,female,ZA,high,"[0, 2, 5]",model1_int,model1_ext,model2_ext,1,4,2,1,2,4,2,3,4,2,4,4,2,0,0,0,0,0,0,6,6,6,5,5,5,5,5,0,1,1,3,1,1,4,3,3,3,3,5,4,4,0
42,female,PT,med,[0],model0_ext,model1_int,model1_ext,1,1,1,1,3,5,5,5,5,5,5,5,5,0,1,1,1,1,1,5,5,5,4,5,5,5,3,0,3,3,2,3,2,3,4,4,3,3,5,5,5,0
24,male,CL,high,[5],model0_int,model0_ext,model0_ext,4,3,3,1,3,0,0,0,0,3,5,5,5,0,0,1,0,0,1,6,6,6,4,5,6,6,6,0,0,1,0,1,3,6,6,6,6,6,6,6,6,0
42,female,GB,high,[1],model2_int,model2_ext,model1_int,2,2,2,2,3,3,4,4,4,4,1,1,4,0,2,1,2,2,3,4,3,4,5,4,1,1,3,0,2,3,1,3,1,3,3,3,4,3,5,4,6,0
42,female,ZA,high,"[0, 1, 5]",model2_ext,model2_int,model0_int,1,1,1,1,3,4,3,4,4,1,5,5,5,0,1,0,0,1,4,4,4,4,5,4,5,1,5,0,0,1,1,0,0,4,4,5,5,4,5,5,4,0
26,male,NL,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,3,3,2,3,5,3,4,2,2,4,6,6,2,0,0,1,1,1,1,6,5,5,6,6,5,3,6,0,2,3,1,2,2,3,6,4,4,4,6,5,5,0
19,male,EE,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,1,1,1,1,2,5,6,5,6,5,6,6,6,0,1,1,1,1,2,6,6,6,6,6,6,5,5,0,4,5,4,4,2,2,2,3,1,3,5,2,2,0
19,female,GB,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,1,1,1,1,1,5,5,5,5,5,3,3,3,0,1,4,1,2,1,4,4,2,1,4,4,2,3,0,2,2,4,4,1,4,3,2,3,2,5,4,4,0
27,female,IT,med,"[0, 1]",model0_int,model0_ext,model0_ext,1,1,3,4,1,2,4,4,3,5,4,4,4,0,0,1,3,2,3,5,4,5,4,4,4,2,4,0,4,3,4,2,3,3,4,2,2,1,4,2,4,0
25,male,ZA,high,"[0, 1, 5]",model2_int,model2_ext,model1_int,3,3,2,3,4,3,4,4,5,3,4,2,5,0,3,4,3,2,3,3,2,2,3,3,4,4,3,0,2,3,2,2,1,4,5,3,5,4,6,5,4,0
40,female,ZA,med,"[0, 1, 2]",model2_ext,model2_int,model0_int,0,0,0,0,0,6,6,6,6,6,6,6,6,0,1,0,1,1,0,5,6,6,6,6,5,3,6,0,4,4,4,3,4,3,3,6,3,3,6,3,6,0
70,male,GB,high,[0],model1_ext,model0_int,model2_int,1,2,2,2,2,4,4,4,4,4,4,4,4,0,4,3,2,2,3,2,3,3,2,3,4,3,2,0,1,2,2,2,2,4,4,3,3,3,4,4,3,0
26,female,ZA,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,3,3,3,3,3,3,3,4,4,3,4,3,3,0,2,3,2,1,3,4,4,4,3,4,3,3,5,0,3,4,1,1,1,4,4,5,4,4,4,3,5,0
26,non-binary,EE,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,0,1,1,3,1,6,5,5,5,4,2,2,4,0,4,1,1,3,0,5,4,2,3,4,4,2,5,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0
43,male,MX,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,1,0,0,1,3,5,5,4,4,4,5,2,5,0,1,1,1,2,1,5,4,4,4,5,5,4,4,0,1,1,1,1,1,3,5,3,4,5,5,4,5,0
28,female,PL,high,"[0, 1, 5]",model2_ext,model2_int,model0_int,1,1,1,1,1,6,4,4,4,3,6,5,5,0,2,2,2,3,2,4,4,3,3,4,3,1,3,0,2,3,3,3,3,4,4,3,3,4,5,5,5,0
21,female,HU,med,[2],model1_ext,model0_int,model2_int,1,3,1,1,0,4,5,6,2,3,4,1,4,0,2,2,1,2,4,4,4,2,2,3,5,2,5,0,0,1,0,0,0,6,6,5,3,6,1,0,1,0
37,female,DE,med,"[0, 1]",model1_int,model1_ext,model2_ext,0,0,2,0,3,5,5,5,6,5,6,6,3,0,0,0,0,0,0,6,6,6,6,6,6,6,3,0,3,2,2,4,1,3,5,3,1,3,1,0,3,0
43,female,GB,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,2,3,3,2,4,4,4,4,4,2,4,4,4,0,3,4,3,4,2,3,4,2,2,2,2,2,3,0,3,3,3,3,3,2,4,2,1,2,5,2,2,0
19,female,ZA,high,"[0, 1, 5]",model0_int,model0_ext,model0_ext,0,0,0,0,0,6,6,6,6,3,6,2,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,4,0,6,6,6,6,6,6,6,6,0
30,female,PT,med,"[1, 5]",model2_int,model2_ext,model1_int,3,3,3,2,4,6,6,6,5,6,6,6,6,0,3,4,3,3,5,3,5,5,5,5,5,5,5,0,3,5,3,4,3,5,5,5,5,5,5,4,4,0
28,male,GR,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,1,3,1,0,1,5,5,5,4,5,6,6,5,0,1,3,1,1,1,5,6,6,5,5,4,1,3,6,4,3,4,4,2,1,3,2,1,2,3,4,5,0
27,female,ZA,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,1,1,1,1,1,4,4,5,5,4,5,4,5,0,0,0,1,0,6,6,6,6,4,6,6,5,5,0,2,4,4,2,1,2,4,2,2,1,5,5,5,0
28,female,BR,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,1,3,1,1,2,4,3,4,3,5,6,2,5,0,2,2,1,2,2,4,5,4,3,5,5,4,2,0,3,3,3,4,2,3,5,3,3,4,5,5,4,0
24,female,PT,med,"[0, 1, 5]",model2_int,model2_ext,model1_int,1,1,1,0,3,5,6,5,4,5,1,0,2,0,2,2,3,2,3,4,4,3,4,5,2,1,4,0,1,1,3,1,0,3,3,3,4,4,6,6,6,0
28,female,ZA,high,"[0, 1, 2]",model2_ext,model2_int,model0_int,0,0,0,0,3,6,6,6,6,6,6,3,5,0,5,2,5,5,4,3,3,4,6,0,2,6,3,0,2,3,0,5,3,2,5,3,0,3,6,6,6,0
33,female,PL,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,3,2,4,1,2,3,3,3,4,3,4,3,4,0,2,2,1,1,2,3,4,4,2,4,3,2,3,0,3,2,1,1,0,3,4,3,2,3,3,3,4,0
34,male,ZA,high,[0],model1_int,model1_ext,model2_ext,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0
32,female,BE,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,1,2,3,4,4,3,2,3,2,1,3,2,4,0,1,5,5,2,4,4,5,1,3,2,3,6,1,0,2,1,3,2,5,4,5,3,3,5,4,2,4,0
53,female,GB,high,"[0, 5]",model0_int,model0_ext,model0_ext,4,3,3,3,3,2,3,2,2,2,5,1,2,0,0,1,1,1,2,6,5,6,5,5,6,4,5,0,1,1,1,1,1,4,4,5,5,5,6,4,3,0
20,female,ZA,high,"[0, 1, 2]",model2_int,model2_ext,model1_int,0,1,1,1,1,6,6,4,3,6,5,5,5,0,1,1,0,1,1,5,5,5,4,5,3,3,3,0,1,1,1,1,1,4,5,3,5,5,5,1,5,0
26,female,GB,high,"[0, 1, 4]",model2_ext,model2_int,model0_int,1,1,1,1,3,4,5,4,4,4,6,3,3,0,2,1,2,1,2,4,3,3,5,3,6,3,3,0,5,1,4,4,1,1,3,1,1,3,6,6,4,0
33,female,ZA,high,"[0, 1, 5]",model1_ext,model0_int,model2_int,1,1,1,2,4,5,5,4,4,5,5,5,5,0,1,1,1,2,2,5,5,5,4,5,5,1,5,0,4,1,2,1,2,5,4,3,3,4,4,1,5,0
27,female,IT,med,"[0, 1, 5]",model1_int,model1_ext,model2_ext,1,3,2,1,4,5,5,5,5,4,6,6,5,0,1,0,0,1,1,5,6,6,5,5,6,5,6,0,4,4,4,5,4,2,4,1,0,1,2,2,2,0
44,female,IT,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,3,3,3,3,5,3,5,4,3,5,6,6,6,0,2,1,3,0,0,4,4,4,3,5,6,6,3,0,3,1,3,1,3,3,6,3,3,4,6,6,6,0
27,male,ZA,high,"[0, 1, 5]",model0_int,model0_ext,model0_ext,1,0,1,0,2,4,4,4,4,4,1,1,4,0,1,1,1,0,0,5,5,5,5,5,5,5,5,0,1,1,6,1,1,5,5,6,5,5,6,6,6,6
27,male,ZA,high,"[0, 1, 5]",model2_int,model2_ext,model1_int,3,3,3,3,3,3,0,3,0,0,4,4,6,0,1,1,1,1,1,5,5,5,5,5,2,1,4,0,3,3,3,3,3,3,3,3,4,3,4,4,4,0
27,male,PT,high,[0],model2_ext,model2_int,model0_int,3,3,2,2,3,4,4,4,2,4,5,6,5,0,3,3,3,3,6,4,4,1,3,4,6,6,5,0,2,1,1,1,0,4,4,2,4,4,6,6,6,0
42,female,IT,med,"[0, 1, 5]",model1_ext,model0_int,model2_int,1,1,2,1,2,4,4,4,4,4,5,5,4,0,2,2,1,4,4,4,5,4,6,6,6,3,3,0,2,3,3,1,3,3,4,4,5,4,6,5,4,0
27,female,PL,med,[1],model1_int,model1_ext,model2_ext,1,1,0,0,1,5,5,3,5,5,5,3,5,0,1,0,0,1,3,5,5,4,4,5,6,5,5,0,3,4,1,3,1,4,4,3,3,3,6,5,4,0
47,female,ZA,high,"[0, 1, 5]",model0_ext,model1_int,model1_ext,4,4,3,3,4,1,5,3,0,0,6,5,4,0,3,2,2,2,2,5,5,5,5,4,6,6,6,0,3,2,3,2,1,3,4,4,3,5,6,6,5,0
39,female,GR,med,"[0, 1, 2]",model0_int,model0_ext,model0_ext,5,5,3,2,5,1,2,3,1,0,5,5,5,0,0,1,1,2,2,6,6,6,6,6,6,6,6,0,4,0,2,3,0,3,4,4,4,4,2,3,5,0
33,male,PL,med,"[0, 1]",model2_int,model2_ext,model1_int,1,3,0,1,0,0,6,4,4,6,4,1,4,0,1,1,0,0,0,0,5,6,6,6,5,1,4,0,1,4,4,5,2,3,6,3,4,2,6,6,3,0
26,male,ZA,med,"[0, 1, 2]",model2_ext,model2_int,model0_int,0,0,0,1,1,6,5,6,6,5,6,3,6,0,0,0,0,5,1,5,4,5,5,5,5,2,6,0,2,2,2,4,3,0,2,2,2,3,6,3,4,0
25,male,PT,med,"[0, 1]",model1_ext,model0_int,model2_int,3,3,3,3,4,3,4,3,3,3,4,4,4,0,1,1,2,1,1,4,5,4,5,5,4,5,5,0,3,4,5,4,1,2,4,3,3,4,5,5,4,0
43,male,PL,med,"[0, 1]",model0_ext,model1_int,model1_ext,1,2,2,2,1,4,4,5,4,4,5,4,5,0,5,2,2,2,0,4,6,4,5,4,3,4,3,0,0,2,0,1,1,5,6,6,6,5,5,2,4,0
25,male,IT,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,0,0,1,0,0,4,4,2,3,4,4,4,4,0,0,0,1,0,0,4,4,4,4,4,4,4,3,0,0,0,1,0,0,4,4,4,1,1,4,4,4,0
26,male,ZA,high,[1],model2_int,model2_ext,model1_int,2,3,2,2,2,3,4,3,4,3,5,5,4,0,3,3,3,3,3,3,4,3,3,4,1,0,4,0,3,2,3,2,1,3,4,3,3,3,5,5,5,0
31,male,PT,med,"[0, 1, 2]",model2_ext,model2_int,model0_int,2,3,4,3,2,3,4,5,4,4,5,5,5,0,2,3,3,2,3,4,4,4,4,5,5,5,5,0,5,5,5,4,2,2,2,2,3,2,5,4,5,0
26,male,GR,med,"[0, 1]",model1_ext,model0_int,model2_int,5,5,2,3,2,3,5,5,5,5,5,2,3,0,5,5,2,3,2,3,5,5,5,5,5,4,4,0,1,3,1,1,1,5,5,3,5,4,1,1,1,0
20,female,ZA,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,0,0,3,0,0,5,6,5,6,6,6,6,6,0,1,1,1,1,1,6,6,6,6,5,6,2,5,0,4,4,3,3,2,3,3,2,2,2,5,5,5,0
21,female,PL,med,"[0, 1, 5]",model0_ext,model1_int,model1_ext,1,1,1,1,3,4,4,5,5,5,5,5,5,0,5,5,4,5,4,2,3,3,2,3,5,4,4,0,3,3,3,3,2,3,4,3,2,5,6,6,6,0
32,female,ZW,high,"[0, 1]",model2_int,model2_ext,model1_int,3,3,4,1,1,3,3,4,4,3,5,5,5,0,4,1,1,0,1,3,6,4,2,3,4,2,0,0,3,3,1,3,0,3,3,3,4,4,5,5,5,0
29,female,ZA,med,"[0, 1, 2]",model2_ext,model2_int,model0_int,3,3,3,0,3,3,3,3,4,4,4,3,4,0,0,0,0,0,0,5,3,5,4,5,5,4,5,0,3,3,3,3,3,3,1,3,4,3,5,1,4,0
25,female,ZA,high,"[0, 1, 2]",model1_ext,model0_int,model2_int,0,0,1,0,3,6,6,5,5,6,6,5,6,0,0,0,0,0,3,5,6,5,6,4,3,1,4,0,5,3,1,3,1,1,5,2,1,2,6,5,6,0
28,male,AU,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,4,1,3,2,1,3,3,2,1,3,4,5,4,0,1,2,2,3,2,5,5,4,5,5,5,3,3,0,2,2,3,3,2,4,4,4,2,3,4,6,4,0
36,female,ZA,med,"[0, 1]",model0_ext,model1_int,model1_ext,3,3,0,0,0,3,6,6,6,6,6,3,6,0,3,4,0,0,0,3,6,6,6,6,6,6,6,0,3,4,0,0,0,3,6,6,6,6,6,6,6,0
31,male,ZA,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,3,3,0,3,2,3,5,4,3,3,6,2,5,0,0,0,0,0,0,4,6,5,3,3,6,4,0,0,0,1,3,3,0,4,6,5,6,4,6,6,5,0
61,female,GR,high,[5],model2_int,model2_ext,model1_int,3,4,2,4,4,3,4,4,3,4,4,3,4,0,1,3,1,1,1,5,5,5,4,4,2,1,3,0,3,4,3,4,1,4,5,5,5,4,4,4,4,0
64,male,GR,med,"[0, 1, 5]",model2_ext,model2_int,model0_int,0,1,3,0,3,5,5,5,5,4,5,5,5,0,5,1,4,1,1,1,5,3,3,5,5,5,4,0,1,1,2,1,2,4,5,3,4,4,5,4,5,0
26,female,ZA,high,"[0, 1, 5]",model1_ext,model0_int,model2_int,1,1,0,0,3,5,6,5,5,5,5,5,5,0,1,1,1,1,1,5,4,5,6,5,5,2,5,0,2,1,1,2,3,3,4,3,4,3,4,1,4,0
32,female,ZW,high,"[0, 1, 5]",model1_int,model1_ext,model2_ext,0,0,2,0,2,5,6,6,6,6,6,4,6,0,0,0,0,0,0,6,6,6,5,6,6,6,5,0,1,1,3,2,2,5,4,5,5,5,6,6,6,0
26,male,ZA,med,"[0, 1, 5]",model0_int,model0_ext,model0_ext,1,2,2,2,1,4,4,4,4,4,5,4,4,0,1,2,1,1,2,4,5,5,4,5,5,4,5,0,6,1,0,0,0,6,6,6,6,6,6,6,6,0
